time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-12T18:29:47.460Z,-10.0815,-79.293,29.522,4.5,mb,38,107,3.062,0.67,us,us7000jjd9,2023-03-12T20:00:50.040Z,"121 km SW of Puerto Casma, Peru",earthquake,13.79,7.004,0.115,22,reviewed,us,us
2023-03-12T11:43:43.642Z,24.3038,94.7545,112.595,4.8,mb,62,62,4.101,0.83,us,us7000jjbm,2023-03-12T11:59:48.040Z,"76 km ESE of Wāngjing, India",earthquake,8.48,6.93,0.075,54,reviewed,us,us
2023-03-12T11:33:58.129Z,36.5084,70.9358,159.124,4.6,mb,81,73,2.497,1.02,us,us7000jjbk,2023-03-12T11:49:43.040Z,"Hindu Kush region, Afghanistan",earthquake,7.27,7.283,0.047,134,reviewed,us,us
2023-03-12T07:43:20.334Z,-12.0577,165.8247,10,5.7,mww,67,58,3.626,0.71,us,us7000jjax,2023-03-13T13:07:33.040Z,"147 km S of Lata, Solomon Islands",earthquake,8.73,1.87,0.057,30,reviewed,us,us
2023-03-12T04:39:11.689Z,13.7839,-90.546,75.949,4.6,mb,45,159,0.745,0.87,us,us7000jjah,2023-03-12T14:47:24.930Z,"24 km SE of Iztapa, Guatemala",earthquake,4.82,6.64,0.032,297,reviewed,us,us
2023-03-12T03:20:53.959Z,-58.7817,-24.7657,10,4.7,mb,17,102,7.89,0.58,us,us7000jja0,2023-03-12T03:37:48.040Z,"South Sandwich Islands region",earthquake,8.23,1.837,0.133,17,reviewed,us,us
2023-03-12T02:15:03.922Z,-59.1256,-24.6188,10,4.8,mb,27,128,8.131,0.91,us,us7000jj9n,2023-03-12T02:38:11.040Z,"South Sandwich Islands region",earthquake,15.79,1.953,0.102,30,reviewed,us,us
2023-03-12T01:09:12.499Z,-58.9813,-24.536,10,5.2,mb,55,85,8.093,0.67,us,us7000jj97,2023-03-12T01:22:22.040Z,"South Sandwich Islands region",earthquake,11.78,1.917,0.077,56,reviewed,us,us
2023-03-11T23:39:15.929Z,26.6732,126.9387,97.514,4.9,mb,73,66,1.204,0.53,us,us7000jj8g,2023-03-13T10:15:51.970Z,"89 km NW of Naha, Japan",earthquake,7.31,5.857,0.044,161,reviewed,us,us
2023-03-11T21:38:12.125Z,-12.5809,169.4955,10,4.7,mb,16,281,3.615,0.71,us,us7000jj7e,2023-03-11T22:10:11.040Z,"Santa Cruz Islands region",earthquake,11.64,1.981,0.159,12,reviewed,us,us
2023-03-11T21:26:23.425Z,-15.5818,167.8764,127.597,4.5,mb,28,199,0.663,0.72,us,us7000jj7b,2023-03-11T21:49:49.040Z,"74 km NE of Norsup, Vanuatu",earthquake,10.66,5.638,0.112,23,reviewed,us,us
2023-03-11T21:12:00.987Z,5.383,-77.6141,10,4.9,mb,80,96,2.224,0.87,us,us7000jj76,2023-03-11T21:39:23.040Z,"52 km SW of Nuquí, Colombia",earthquake,6.54,1.871,0.045,154,reviewed,us,us
2023-03-11T18:24:48.754Z,37.2464,69.7883,10.513,4.7,mb,139,52,1.539,0.66,us,us7000jj5x,2023-03-11T19:12:20.040Z,"13 km NNW of Rustāq, Afghanistan",earthquake,6.49,4.329,0.046,153,reviewed,us,us
2023-03-11T18:21:22.904Z,-16.1719,177.7814,10,5,mb,36,90,1.586,0.69,us,us7000jj5y,2023-03-11T18:43:24.040Z,"151 km N of Ba, Fiji",earthquake,9.48,1.887,0.093,40,reviewed,us,us
2023-03-11T17:47:54.006Z,-2.6308,128.8233,18.679,4.5,mb,45,65,2.167,1.21,us,us7000jj5s,2023-03-11T19:39:06.040Z,"79 km N of Amahai, Indonesia",earthquake,5.6,4.712,0.09,37,reviewed,us,us
2023-03-11T17:17:29.498Z,-14.9347,167.3627,121.863,4.6,mb,114,53,0.532,0.74,us,us7000jj5k,2023-03-11T17:50:10.040Z,"33 km ENE of Port-Olry, Vanuatu",earthquake,8.91,4.588,0.054,108,reviewed,us,us
2023-03-11T17:08:46.211Z,9.0902,-84.1008,13.576,4.7,mwr,106,133,0.654,1.15,us,us7000jj5h,2023-03-11T17:35:46.040Z,"38 km S of Quepos, Costa Rica",earthquake,4.73,4.594,0.056,31,reviewed,us,us
2023-03-11T14:50:02.646Z,-7.0484,-12.4672,10,4.8,mb,16,92,2.072,1.13,us,us7000jj53,2023-03-11T15:30:09.040Z,"235 km ENE of Georgetown, Saint Helena",earthquake,11.25,1.907,0.149,14,reviewed,us,us
2023-03-11T13:29:46.144Z,-16.3501,177.4615,10,5.5,mww,61,60,1.498,0.81,us,us7000jj4s,2023-03-14T04:05:33.397Z,"132 km N of Ba, Fiji",earthquake,7.82,1.848,0.057,30,reviewed,us,us
2023-03-11T13:07:13.258Z,13.8771,146.7787,10,4.6,mb,42,90,1.878,0.5,us,us7000jj4k,2023-03-11T13:33:51.040Z,"173 km SE of San Jose Village, Northern Mariana Islands",earthquake,9.86,1.899,0.089,39,reviewed,us,us
2023-03-11T08:49:52.069Z,-24.0847,-179.9607,498.911,4.8,mb,70,64,5.266,0.73,us,us7000jj3k,2023-03-11T09:05:29.040Z,"south of the Fiji Islands",earthquake,12.28,8.332,0.1,31,reviewed,us,us
2023-03-11T08:27:41.933Z,-22.1025,-68.8398,113.094,4.6,mb,26,57,0.849,0.89,us,us7000jj3f,2023-03-11T08:44:27.040Z,"40 km NNE of Calama, Chile",earthquake,5.86,7.74,0.137,16,reviewed,us,us
2023-03-11T07:41:43.741Z,4.8284,123.6811,506.939,4.6,mb,79,80,2.919,0.6,us,us7000jj38,2023-03-11T07:57:50.040Z,"Celebes Sea",earthquake,10.89,8.472,0.064,73,reviewed,us,us
2023-03-11T07:32:37.737Z,-6.7518,128.6031,10.484,4.6,mb,25,62,2.566,1,us,us7000jj37,2023-03-11T08:00:26.040Z,"263 km NE of Lospalos, Timor Leste",earthquake,7.81,2.872,0.146,14,reviewed,us,us
2023-03-11T06:22:25.116Z,-40.733,-85.355,10,4.7,mb,61,176,8.783,0.7,us,us7000jj2v,2023-03-11T06:40:49.040Z,"West Chile Rise",earthquake,11.87,1.952,0.09,38,reviewed,us,us
2023-03-11T04:13:45.298Z,-41.2756,-73.7905,47.038,4.5,mwr,29,148,0.271,0.92,us,us7000jj23,2023-03-11T04:51:44.281Z,"66 km N of Ancud, Chile",earthquake,6.71,5.488,0.058,29,reviewed,us,us
2023-03-11T04:03:48.189Z,1.8949,97.8496,51.119,5.3,mww,98,71,0.648,0.89,us,us7000jj20,2023-03-11T23:46:51.938Z,"43 km S of Singkil, Indonesia",earthquake,6.37,6.136,0.075,17,reviewed,us,us
2023-03-11T02:35:28.566Z,-45.6478,-77.3026,10,4.9,mb,35,181,2.716,0.67,us,us7000jj1l,2023-03-11T02:53:11.040Z,"Off the coast of Aisen, Chile",earthquake,7.15,1.635,0.102,30,reviewed,us,us
2023-03-11T00:38:59.258Z,51.2794,-178.2681,35,4.6,mwr,117,138,0.438,1,us,us7000jj0x,2023-03-11T01:39:42.659Z,"131 km WSW of Adak, Alaska",earthquake,2.44,1.902,0.098,10,reviewed,us,us
2023-03-11T00:16:54.682Z,31.3131,141.7826,10,5.2,mb,116,68,2.452,0.84,us,us7000jj0s,2023-03-11T00:32:55.040Z,"Izu Islands, Japan region",earthquake,8.59,1.841,0.038,232,reviewed,us,us
2023-03-10T20:47:32.845Z,5.3531,-78.2158,18.189,5.1,mww,156,92,2.8,1,us,us7000jiyr,2023-03-11T15:44:43.040Z,"104 km WNW of Pizarro, Colombia",earthquake,5.69,3.624,0.058,29,reviewed,us,us
2023-03-10T20:12:38.990Z,42.178,142.9511,58.034,4.9,mb,137,80,0.224,0.74,us,us7000jiya,2023-03-11T14:57:38.319Z,"51 km ESE of Shizunai-furukawachō, Japan",earthquake,7.1,3.711,0.034,286,reviewed,us,us
2023-03-10T17:57:42.252Z,-17.8526,-178.2089,538.585,4.6,mb,89,37,3.526,0.53,us,us7000jiww,2023-03-10T18:50:22.040Z,"263 km E of Levuka, Fiji",earthquake,9.73,7.088,0.063,79,reviewed,us,us
2023-03-10T16:08:23.795Z,-6.7786,132.4422,39.863,4.5,mb,29,128,3.377,0.83,us,us7000jivs,2023-03-10T19:00:02.040Z,"131 km SSW of Tual, Indonesia",earthquake,8.77,8.638,0.128,18,reviewed,us,us
2023-03-10T15:41:48.081Z,45.5107,150.6207,69.614,4.5,mb,48,135,5.642,0.46,us,us7000jivp,2023-03-10T19:06:51.040Z,"217 km E of Kuril’sk, Russia",earthquake,11.83,8.042,0.076,51,reviewed,us,us
2023-03-10T14:21:50.493Z,-22.2093,-179.4981,563.554,4.8,mb,35,92,4.126,0.73,us,us7000jiu7,2023-03-10T14:38:57.040Z,"south of the Fiji Islands",earthquake,13.86,10.034,0.075,54,reviewed,us,us
2023-03-10T12:57:35.397Z,28.4745,139.6201,464.411,4.6,mb,110,106,4.629,0.65,us,us7000jisq,2023-03-10T13:20:28.040Z,"Bonin Islands, Japan region",earthquake,11,8.123,0.032,291,reviewed,us,us
2023-03-10T11:00:57.519Z,-4.2625,152.7413,10,5,mb,80,39,8.81,0.65,us,us7000jise,2023-03-10T11:23:42.927Z,"53 km E of Kokopo, Papua New Guinea",earthquake,9.43,1.785,0.061,86,reviewed,us,us
2023-03-10T09:18:41.372Z,6.8426,-73.0822,159.388,5.4,mww,113,31,0.944,1.41,us,us7000jirz,2023-03-13T04:29:26.387Z,"12 km N of Jordán, Colombia",earthquake,6.14,5.056,0.06,27,reviewed,us,us
